,,崩塌地面積(公頃),,,,,,,,新增崩塌地面積(公頃),,,,,,,,崩塌復育地面積(公頃),,,,,,,,,,RI指標,,,,,,,,RI_Type,RI_Type,RI_Type,RI_Type,RI_Type,3年平均,,,,,
斜坡單元編號,,25,26,27,28,29,30,31,32,25,26,27,28,29,30,31,32,25,26,27,28,29,30,31,32,,RI_2013,RI_2014,RI_2015,RI_2016,RI_2017,RI_2018,RI_2019,RI_2020,,(2013~2016),(2014~2017),(2015~2018),(2016~2019),(2017~2020),RI_2017,RI_2018,RI_2019,RI_2020,,RI_Type(2017~2020)
s029,13.25,2.44,2.39,2.24,1.2,1.83,2.83,2.66,2.53,0.44,0.14,0.81,0.37,2.79,0.89,0,0.78,1.24,0.19,0.96,1.41,0.38,1.08,0.15,1.93,,0.327868852,0.020920502,0.066964286,0.866666667,-1.316939891,0.067137809,0.056390977,0.454545455,,,,,1,2,-0.152741514,-0.127160494,-0.120892019,-0.093401015,,2
s030,43.59,9.64,9.91,8.25,8.16,13.18,13.29,13.26,8.35,2.81,0.7,1.92,3.14,6.89,0.12,0,0.09,4.47,0.42,3.58,3.23,1.87,0.01,0.03,9.41,,0.17219917,-0.028254289,0.201212121,0.011029412,-0.380880121,-0.0082769,0.002262443,1.116167665,,,,,2,2,-0.089873418,-0.078824627,-0.104614742,0.087770383,,2
s031,29.08,1.47,1.51,0.83,0.53,1.35,1.05,1.01,1.1,0.56,0.46,0.18,0.45,1.16,0.08,0,0.68,1.6,0.42,0.86,0.76,0.34,0.38,0.04,0.63,,0.707482993,-0.026490066,0.819277108,0.58490566,-0.607407407,0.285714286,0.03960396,-0.045454545,,,,,5,4,0.030805687,0.125,-0.043147208,-0.11751663,,2
s032,89,1.53,1.57,4.24,0.11,1.47,1.6,2.36,1.52,0.13,0.58,3.82,0,1.38,0.58,1.24,0.52,1.63,0.53,1.15,4.13,0.02,0.45,0.35,1.47,,0.980392157,-0.031847134,-0.629716981,37.54545455,-0.925170068,-0.08125,-0.377118644,0.625,,,,,4,2,0.0067659,-0.004043127,0.315884477,-0.205755396,,2
s033,69.82,1.26,0.8,0.9,0.28,1.18,1.23,1.25,0.44,0.39,0.24,0.59,0.26,0.68,0.17,0.02,0.09,3.91,0.7,0.48,0.89,0.21,0.13,0,0.7,,2.793650794,0.575,-0.122222222,2.25,-0.398305085,-0.032520325,-0.016,1.386363636,,,,,5,2,0.161392405,0.002785515,0.025380711,0.019512195,,2
s034,30.25,5.46,6,3.32,4.99,5.31,0.2,0.2,0.08,0.48,0.63,0.21,2.78,2.02,0.01,0,0.01,5.15,0.09,0.29,1.1,1.7,5.12,0,0.12,,0.855311355,-0.09,0.024096386,-0.336673347,-0.060263653,25.55,0,1.375,,,,,1,3,-0.125382263,0.230824891,0.290654206,0.846286701,,2
s035,76.13,7.31,6.69,9.08,4.63,4.68,4.44,4.44,2.41,2.93,0.15,4.5,1.68,2.42,0.62,0,0.09,6.8,0.77,2.12,6.13,2.37,0.87,0,2.96,,0.529411765,0.092675635,-0.262114537,0.96112311,-0.010683761,0.056306306,0,1.190871369,,,,,5,2,0.105263158,0.099430574,0.255634964,0.192235441,,2
s036,90.85,8.32,7.79,7.29,7.1,7.05,6.97,6.94,5.88,2.97,0.98,4.5,3.62,2.81,0.71,0,0.22,4.99,1.52,5.01,3.81,2.86,0.8,0.03,5.51,,0.242788462,0.069319641,0.069958848,0.026760563,0.007092199,0.012912482,0.004322767,0.899659864,,,,,3,2,0.04413274,0.029567054,0.012829651,0.20342772,,5
s037,48.21,2.51,3.73,3.78,3,5.44,3.44,3.44,3.37,0.3,1.29,0.12,1.15,2.84,0.42,0,0.02,2.68,0.08,0.07,1.93,0.4,2.46,0,2.97,,0.948207171,-0.324396783,-0.013227513,0.26,-0.448529412,0.593023256,0,0.87537092,,,,,1,2,-0.1830721,0.021072797,0.024804178,0.162523901,,2
s038,63.08,7.39,7.44,7.37,0.83,4.83,4.7,4.7,1.84,2.99,1.08,0.69,0.13,4.12,0.67,0,0.42,3.77,0.72,0.52,6.67,0.12,0.81,0,2.67,,0.105548038,-0.048387097,-0.023066486,7.879518072,-0.82815735,0.029787234,0,1.222826087,,,,,5,2,0.098192477,0.141567964,0.177954847,-0.100186683,,2
s039,334.65,17.02,16.86,19.06,14.6,15.31,15.13,15.36,4.57,4.1,3.14,8.02,7.75,8.23,2.6,1.26,0.91,8.33,3.3,5.81,12.23,7.46,2.83,0.85,8.32,,0.24853114,0.009489917,-0.115949633,0.306849315,-0.050293926,0.015201586,-0.026692708,1.621444201,,,,,5,2,0.025216467,0.02698908,0.058443709,0.128250943,,2
s040,338.03,13.77,13.62,11.42,8.78,6.33,4.63,4.43,2.09,3.52,1.71,2.18,5.46,3.84,0.86,0.09,0.22,8.18,1.85,4.39,8.1,6.29,2.56,0.27,2.75,,0.338416848,0.010279001,0.19352014,0.300683371,0.387045814,0.367170626,0.040632054,1.210526316,,,,,3,2,0.185305106,0.288831836,0.288374017,0.392448513,,2
s041,81.92,0.71,0.64,0.64,0,1.23,1.21,1.39,0,0.36,0.18,0,0,1.23,0.29,0.18,0,0.69,0.25,0,0.64,0,0.31,0,0.61,,0.464788732,0.109375,0,#DIV/0!,-1,0.016528926,-0.129496403,#DIV/0!,,,,,4,2,-0.207171315,-0.185064935,-0.195822454,-0.203655352,,2
s042,83.02,9.5,9.96,9.53,7.55,8.31,7.71,7.76,5.06,2.26,1.49,0.12,2.85,4.09,0.97,0.18,0.74,3.43,1.03,0.55,4.84,3.33,1.57,0.11,5.28,,0.123157895,-0.046184739,0.045120672,0.263576159,-0.091456077,0.077821012,-0.009020619,0.897233202,,,,,5,2,0.033946252,0.068277946,0.056176189,0.149445215,,4
s043,155.36,17.06,16.12,14.47,10.44,9.29,9.58,7.98,9.61,4.92,2.32,1.06,4.9,5.49,1.43,0.72,3.99,7.31,3.26,2.71,8.93,6.64,1.14,2.12,5.95,,0.140093787,0.058312655,0.114029026,0.386015326,0.12378902,-0.030271399,0.175438596,0.203954214,,,,,3,1,0.154411765,0.14938328,0.16867793,0.11574328,,5
s044,41.56,6.72,7.61,7.05,6.91,7.17,6.66,6.44,4.99,0.67,2.09,1.91,2.46,3.07,1.98,0.77,0.72,4.74,1.2,2.47,2.6,2.81,2.49,0.9,4.68,,0.605654762,-0.11695138,0.079432624,0.020260492,-0.036262204,0.076576577,0.020186335,0.793587174,,,,,1,2,-0.01565762,0.034184959,0.019131714,0.171813143,,4
s045,161.06,11.38,11.88,10.67,5.97,8.36,5.8,5.5,1.96,3.75,4.92,2.3,2.94,5.63,1.05,0.93,0.68,9.26,4.42,3.51,7.64,3.24,3.61,1.12,2.96,,0.484182777,-0.042087542,0.113402062,0.787269682,-0.285885167,0.44137931,0.034545455,1.163265306,,,,,3,2,0.081887202,0.197402597,0.197424893,0.122109158,,4
s046,124.54,13.32,13.06,8.87,10.98,9.45,8.01,8.08,1.06,4.53,3.12,2.49,5.68,4,0.41,0.14,0.39,11.83,3.37,6.68,3.57,5.53,1.85,0.07,3.83,,0.548048048,0.01914242,0.472378805,-0.192167577,0.161904762,0.179775281,-0.008663366,3.245283019,,,,,2,2,0.091123702,0.135352452,0.021631982,0.238345865,,2
s047,154.59,6.73,6.37,5.55,5.88,3.89,3.54,2.44,0.6,3.83,1.64,3.43,4.99,2.67,1.2,0.57,0.28,6.67,1.99,4.25,4.66,4.66,1.54,1.52,1.2,,0.421991085,0.054945055,0.147747748,-0.056122449,0.511568123,0.096045198,0.389344262,1.533333333,,,,,1,1,0.130474873,0.1495228,0.187301587,0.401146132,,2
s048,171.86,3.5,2.77,1.56,2.02,1.95,1.63,1.42,0.25,1.22,0.61,0.14,1.99,1.65,0.24,0.19,0.12,4.29,1.34,1.35,1.53,1.72,0.56,0.45,0.68,,0.877142857,0.263537906,0.775641026,-0.227722772,0.035897436,0.196319018,0.183098592,2.24,,,,,2,2,0.186746988,0.159217877,0.027065527,0.23047619,,2
s049,233.87,1.81,2.14,1.85,0.92,1.01,1.03,0.71,0.21,0.17,0.66,0.33,0.71,0.87,0.22,0.16,0.21,3.1,0.33,0.61,1.64,0.78,0.2,0.43,0.31,,1.61878453,-0.154205607,0.151351351,1.010869565,-0.089108911,-0.019417476,0.38028169,0.476190476,,,,,3,2,0.133445946,0.228690229,0.297002725,0.087837838,,4
s050,60.84,10.45,10.61,8.55,9.09,9.98,8.76,8.75,4.88,2.82,2.12,1.75,3.03,3.99,0.92,0,0.81,9.49,1.96,3.81,2.49,3.11,2.19,0,5.61,,0.638277512,-0.015080113,0.240935673,-0.059405941,-0.088176353,0.144977169,0,0.983606557,,,,,2,2,0.012555585,0.052501374,-0.004100601,0.160333642,,4
s051,225.14,4.86,4.68,3.41,1.68,2.75,2.06,2.06,0.54,0.71,0.93,1.66,1.36,2.3,0.76,0,0.03,5.41,1.11,2.93,3.08,1.23,1.46,0,1.12,,0.967078189,0.038461538,0.372434018,1.023809524,-0.389090909,0.339805825,0,2.018518519,,,,,5,2,0.167731629,0.264646465,0.157894737,0.097165992,,4
s052,72.89,2.22,1.87,1.37,1.67,1.41,2.01,1.38,0.77,0.4,0.54,0.31,1.02,1.1,1.07,0.19,0.4,6.59,0.89,0.81,0.72,1.36,0.47,0.84,0.77,,2.788288288,0.187165775,0.364963504,-0.179640719,0.184397163,-0.298507463,0.471014493,0.480519481,,,,,2,2,0.128164557,-0.021671827,0.001545595,0.122082585,,5
s053,188.66,2.54,2.77,2.62,2.66,2.98,2.98,2.91,0.05,0.96,0.51,0.44,1.47,2.42,0,0,0.05,4.87,0.29,0.58,1.43,2.1,0,0.06,1.27,,1.539370079,-0.079422383,0.053435115,-0.015037594,-0.10738255,0,0.020618557,24.4,,,,,2,2,-0.039891206,-0.019572954,-0.026019081,0.107623318,,4
s054,108.4,4.4,4.41,3.54,4.69,4.8,4.55,4,0.89,0.94,1.16,1.09,3.34,2.85,0.17,0.27,0.3,7.06,1.14,1.96,2.18,2.75,0.42,0.74,2.01,,1.390909091,-0.004535147,0.245762712,-0.247334755,-0.020833333,0.054945055,0.1175,1.921348315,,,,,2,2,-0.023509174,-0.007963595,-0.029933481,0.163623596,,3
s055,51.5,1.45,0.72,0.51,0.36,0.81,0.81,0.79,0,0.45,0.01,0,0.26,0.72,0,0,0,0.06,0.75,0.2,0.42,0.27,0.01,0.02,0.35,,-0.268965517,1.027777778,0.392156863,0.444444444,-0.555555556,0.012345679,0.025316456,#DIV/0!,,,,,5,2,0.270833333,-0.032128514,-0.093862816,-0.029045643,,2
s056,79.07,5.24,6.11,6.98,4.95,2.22,1.87,1.87,1.2,2.64,3.47,1.02,2.37,0.52,0.18,0,0.11,7.24,2.6,0.16,4.39,3.25,0.52,0,1.29,,0.877862595,-0.142389525,-0.123209169,0.408080808,1.22972973,0.181818182,0,0.983333333,,,,,3,3,0.149062192,0.264044944,0.466544455,0.593575419,,4
s057,119.87,3.26,3.92,2.92,2.39,1.09,0.41,0.35,0.06,1.68,1.33,0,1.6,0.93,0.08,0,0,4.8,0.66,1,2.13,2.23,0.76,0.05,0.18,,0.957055215,-0.170918367,0.342465753,0.221757322,1.19266055,1.658536585,0.142857143,3,,,,,1,2,0.209302326,0.515418502,0.603773585,1.157068063,,2
s058,108.44,11.09,11.21,11.23,11.1,4.19,4.07,4.07,0,1.57,1.8,0.02,4.45,1.26,0,0,0,10.36,1.67,0,4.58,8.17,0.12,0,1.78,,0.792605951,-0.011596789,-0.001780944,0.011711712,1.649164678,0.029484029,0,0,,,,,3,5,0.182613305,0.233409611,0.305591122,0.714517437,,2
s059,333.37,21.52,27.13,20.59,19.71,19.29,5.93,5.15,4.06,9.23,15.45,1.98,11.23,10.27,1.21,0.34,2.2,19.81,9.84,8.52,12.11,10.69,14.61,1.02,3.07,,0.491635688,-0.20678216,0.317629917,0.044647387,0.021772939,2.259696459,0.132038835,0.214285714,,,,,1,3,0.025714945,0.324175824,0.307108626,0.446413012,,2
總計,5825,,,,,258.11,210.2,201.82,106.9,90.52,74.62,84.07,102.35,152.77,27.54,13.59,21.34,296.37,71.62,105.89,202.51,106.68,75.09,22,125.7,,,,,,,,,,,,,,,,,,,,,
